stop_id,stop_lat,stop_lon,VenueID,Venue,Venue Latitude,Venue Longitude,Venue Category
12034,49.285687,-123.111773,4aa7f561f964a520384e20e3,Miku Restaurant,49.28671261,-123.11204401,Japanese Restaurant
12034,49.285687,-123.111773,57d05c9c498e185ed0205e5a,The Poke Guy,49.28393736225851,-123.11216716613504,Poke Place
12034,49.285687,-123.111773,55831809498eb7238a4bd305,Pholicious,49.284309027597644,-123.11228960276179,Vietnamese Restaurant
12034,49.285687,-123.111773,4aa6bc27f964a520df4a20e3,Steamworks Brewing Company,49.28510690657561,-123.11144729314218,Brewery
12034,49.285687,-123.111773,4aa74686f964a520944c20e3,The Fairmont Waterfront,49.28722057168015,-123.11377415456752,Hotel
12034,49.285687,-123.111773,4b3310a3f964a520601725e3,Vancouver Lookout,49.28463166675836,-123.11233162879944,Scenic Lookout
12034,49.285687,-123.111773,5261ea7111d2cc4cf26712e3,Cartems Donuterie,49.283833446719726,-123.1135544398471,Donut Shop
12034,49.285687,-123.111773,52dec1e1498e71f308720349,Timbertrain Coffee Roasters,49.28385800135924,-123.10962180383702,Coffee Shop
12034,49.285687,-123.111773,4b168f8ff964a52058ba23e3,Granville Square,49.2865011087249,-123.11262911407391,Plaza
12034,49.285687,-123.111773,5b1aebbd4a7aae002cb1b99d,Herschel Supply Co. Gastown,49.28455676573688,-123.11005463899691,Accessories Store
12034,49.285687,-123.111773,4bfaaacb8d30d13abaea0318,Pan Pacific Vancouver,49.287373,-123.113064,Hotel
12034,49.285687,-123.111773,5a625194b1538e3d54910a2c,Ignite Pizzeria,49.28471556933342,-123.11109238305903,Pizza Place
12034,49.285687,-123.111773,4d9b41359298b1f7635b5338,Revolver,49.2831867506594,-123.10928769992123,Coffee Shop
12034,49.285687,-123.111773,4abea310f964a520ff8e20e3,Pourhouse,49.284221965846754,-123.1083297558511,Restaurant
12034,49.285687,-123.111773,4aac074af964a520b85b20e3,Dutil Denim,49.28373098438669,-123.10924095520078,Boutique
12034,49.285687,-123.111773,4aa73a1af964a5205f4c20e3,MacLeod's Books,49.28349534177548,-123.1128127453969,Bookstore
